"X","Y","H30_Lusit (TWT)"
528280.01,2263261.01,364.357391
528280.01,2263361.01,366.300186
528280.01,2263461.01,367.051178
528280.01,2263561.01,368.426514
528280.01,2263661.01,369.606346
528280.01,2263761.01,369.551117
528280.01,2263861.01,370.970306
528280.01,2263961.01,373.536469
528280.01,2264061.01,375.553513
528280.01,2264161.01,374.530472
528280.01,2264261.01,376.361732
528280.01,2264361.01,379.064606
528280.01,2264461.01,381.096848
528280.01,2264561.01,384.134338
528280.01,2264661.01,383.764252
528280.01,2264761.01,382.046402
528280.01,2264861.01,384.058945
528280.01,2264961.01,385.637306
528280.01,2265061.01,386.445618
528280.01,2265161.01,388.307892
528280.01,2265261.01,388.928864
528280.01,2265361.01,388.092712
528280.01,2265461.01,387.25679
528280.01,2265561.01,383.368317
528280.01,2265661.01,382.734512
528280.01,2265761.01,383.522507
528280.01,2265861.01,384.750732
528280.01,2265961.01,384.676575
528280.01,2266061.01,384.145111
528280.01,2266161.01,383.553726
528280.01,2266261.01,384.01886
528280.01,2266361.01,-9999
528280.01,2266461.01,-9999
528380.01,2260861.01,411.055328
528380.01,2260961.01,409.511261
528380.01,2261061.01,411.135956
528380.01,2261161.01,411.630722
528380.01,2261261.01,413.230301
528380.01,2261361.01,412.598526
528380.01,2261461.01,420.164383
528380.01,2261561.01,424.124481
528380.01,2261661.01,426.415436
528380.01,2261761.01,410.312317
528380.01,2261861.01,404.033295
528380.01,2261961.01,380.251434
528380.01,2262061.01,371.918457
528380.01,2262161.01,367.535278
528380.01,2262261.01,358.969101
528380.01,2262361.01,355.788269
528380.01,2262461.01,353.763885
528380.01,2262561.01,351.529358
528380.01,2262661.01,351.70385
528380.01,2262761.01,352.917801
528380.01,2262861.01,354.641846
528380.01,2262961.01,357.585632
528380.01,2263061.01,359.197327
528380.01,2263161.01,359.29702
528380.01,2263261.01,361.660553
528380.01,2263361.01,363.94313
528380.01,2263461.01,363.929932
528380.01,2263561.01,365.328278
528380.01,2263661.01,366.696014
528380.01,2263761.01,366.231171
528380.01,2263861.01,366.917511
528380.01,2263961.01,368.990242
528380.01,2264061.01,368.197479
528380.01,2264161.01,369.491882
528380.01,2264261.01,371.930084
528380.01,2264361.01,375.646515
528380.01,2264461.01,379.222504
528380.01,2264561.01,382.186752
528380.01,2264661.01,382.324692
528380.01,2264761.01,381.239532
528380.01,2264861.01,382.669846
528380.01,2264961.01,384.722229
528380.01,2265061.01,385.502502
528380.01,2265161.01,387.159714
528380.01,2265261.01,388.247131
528380.01,2265361.01,386.498276
528380.01,2265461.01,386.32431
528380.01,2265561.01,381.840363
528380.01,2265661.01,381.803513
528380.01,2265761.01,383.526672
528380.01,2265861.01,383.966064
528380.01,2265961.01,383.036972
528380.01,2266061.01,383.430481
528380.01,2266161.01,384.569092
