"X","Y","H80_r3a (TWT)"
528380.01,2265561.01,753.545563
528380.01,2265661.01,754.419281
528380.01,2265761.01,754.974319
528380.01,2265861.01,755.645813
528380.01,2265961.01,756.433716
528380.01,2266061.01,756.96936
528380.01,2266161.01,757.053345
528380.01,2266261.01,755.707214
528380.01,2266361.01,754.907242
528380.01,2266461.01,-9999
528480.01,2260861.01,-9999
528480.01,2260961.01,798.714615
528480.01,2261061.01,801.728058
528480.01,2261161.01,800.345016
528480.01,2261261.01,799.230652
528480.01,2261361.01,796.337067
528480.01,2261461.01,793.232483
528480.01,2261561.01,791.424255
528480.01,2261661.01,787.347382
528480.01,2261761.01,783.622101
528480.01,2261861.01,779.585938
528480.01,2261961.01,778.098389
528480.01,2262061.01,772.917511
528480.01,2262161.01,770.910156
528480.01,2262261.01,768.24971
528480.01,2262361.01,766.891937
528480.01,2262461.01,765.682709
528480.01,2262561.01,761.396179
528480.01,2262661.01,757.929443
528480.01,2262761.01,754.191437
528480.01,2262861.01,754.835739
528480.01,2262961.01,755.666412
528480.01,2263061.01,755.925064
528480.01,2263161.01,753.506409
528480.01,2263261.01,755.594055
528480.01,2263361.01,755.572876
528480.01,2263461.01,754.749207
528480.01,2263561.01,754.276855
528480.01,2263661.01,756.533051
528480.01,2263761.01,756.542053
528480.01,2263861.01,756.60321
528480.01,2263961.01,756.362061
528480.01,2264061.01,754.752502
528480.01,2264161.01,754.209686
528480.01,2264261.01,752.955841
528480.01,2264361.01,751.293365
528480.01,2264461.01,751.013794
528480.01,2264561.01,752.859558
