"X","Y","H50_Aal (TWT)"
528180.01,2264961.01,636.062225
528180.01,2265061.01,636.382843
528180.01,2265161.01,631.270386
528180.01,2265261.01,626.358185
528180.01,2265361.01,630.267212
528180.01,2265461.01,632.068481
528180.01,2265561.01,634.932739
528180.01,2265661.01,636.928833
528180.01,2265761.01,637.534775
528180.01,2265861.01,637.493408
528180.01,2265961.01,638.93811
528180.01,2266061.01,639.876984
528180.01,2266161.01,641.190918
528180.01,2266261.01,641.463013
528180.01,2266361.01,-9999
528280.01,2260861.01,-9999
528280.01,2260961.01,-9999
528280.01,2261061.01,654.116058
528280.01,2261161.01,653.071686
528280.01,2261261.01,652.058777
528280.01,2261361.01,650.730774
528280.01,2261461.01,649.554016
528280.01,2261561.01,649.62558
528280.01,2261661.01,650.295898
528280.01,2261761.01,645.557465
528280.01,2261861.01,640.408386
528280.01,2261961.01,634.477966
528280.01,2262061.01,631.298187
528280.01,2262161.01,628.77301
528280.01,2262261.01,628.460083
528280.01,2262361.01,626.660324
528280.01,2262461.01,624.351013
528280.01,2262561.01,622.999512
528280.01,2262661.01,620.554626
528280.01,2262761.01,620.226166
528280.01,2262861.01,619.781403
528280.01,2262961.01,620.97905
528280.01,2263061.01,622.737885
528280.01,2263161.01,622.650452
528280.01,2263261.01,624.363037
528280.01,2263361.01,625.614441
528280.01,2263461.01,625.73056
528280.01,2263561.01,628.148819
528280.01,2263661.01,628.515823
528280.01,2263761.01,628.861572
528280.01,2263861.01,630.280121
528280.01,2263961.01,630.984558
528280.01,2264061.01,630.908142
528280.01,2264161.01,630.389496
528280.01,2264261.01,630.314453
528280.01,2264361.01,630.031891
528280.01,2264461.01,629.459747
528280.01,2264561.01,630.492737
528280.01,2264661.01,633.134216
528280.01,2264761.01,634.549255
528280.01,2264861.01,635.733353
528280.01,2264961.01,636.00148
528280.01,2265061.01,635.790588
528280.01,2265161.01,630.932892
528280.01,2265261.01,625.076599
528280.01,2265361.01,626.40889
528280.01,2265461.01,630.192871
528280.01,2265561.01,632.866028
528280.01,2265661.01,635.062378
528280.01,2265761.01,635.718262
528280.01,2265861.01,636.608643
528280.01,2265961.01,638.356964
528280.01,2266061.01,639.674927
528280.01,2266161.01,641.473877
528280.01,2266261.01,642.117905
528280.01,2266361.01,-9999
528280.01,2266461.01,-9999
528380.01,2260861.01,649.772461
528380.01,2260961.01,650.605988
528380.01,2261061.01,653.774536
528380.01,2261161.01,653.229523
528380.01,2261261.01,652.161224
528380.01,2261361.01,650.897141
528380.01,2261461.01,648.958466
528380.01,2261561.01,647.739807
528380.01,2261661.01,647.035706
528380.01,2261761.01,642.764221
528380.01,2261861.01,639.168686
528380.01,2261961.01,634.939941
528380.01,2262061.01,631.74292
528380.01,2262161.01,631.213074
528380.01,2262261.01,631.500824
528380.01,2262361.01,630.425171
528380.01,2262461.01,626.196289
528380.01,2262561.01,624.520508
528380.01,2262661.01,619.963791
528380.01,2262761.01,617.599258
528380.01,2262861.01,617.031067
528380.01,2262961.01,617.428558
528380.01,2263061.01,618.265259
528380.01,2263161.01,618.410355
528380.01,2263261.01,620.330261
528380.01,2263361.01,621.190109
528380.01,2263461.01,621.160828
528380.01,2263561.01,623.815826
528380.01,2263661.01,625.674316
528380.01,2263761.01,626.364441
528380.01,2263861.01,628.393616
528380.01,2263961.01,629.388687
528380.01,2264061.01,627.337158
528380.01,2264161.01,627.742737
528380.01,2264261.01,627.242401
528380.01,2264361.01,626.462708
528380.01,2264461.01,626.655334
528380.01,2264561.01,628.604065
528380.01,2264661.01,632.703629
528380.01,2264761.01,634.555176
528380.01,2264861.01,636.19986
528380.01,2264961.01,635.940735
528380.01,2265061.01,635.750641
528380.01,2265161.01,631.507477
528380.01,2265261.01,625.545975
528380.01,2265361.01,626.728699
528380.01,2265461.01,629.994141
528380.01,2265561.01,632.255463
528380.01,2265661.01,633.396393
528380.01,2265761.01,635.184265
528380.01,2265861.01,637.025665
528380.01,2265961.01,638.669312
528380.01,2266061.01,641.160217
528380.01,2266161.01,642.651825
528380.01,2266261.01,643.121582
528380.01,2266361.01,643.391205
528380.01,2266461.01,-9999
528480.01,2260861.01,-9999
528480.01,2260961.01,652.783951
528480.01,2261061.01,657.58136
528480.01,2261161.01,656.05954
528480.01,2261261.01,654.694946
528480.01,2261361.01,652.632355
528480.01,2261461.01,650.999329
528480.01,2261561.01,649.418335
528480.01,2261661.01,646.367798
528480.01,2261761.01,642.072983
528480.01,2261861.01,639.00235
528480.01,2261961.01,637.706482
528480.01,2262061.01,633.995117
528480.01,2262161.01,633.463104
528480.01,2262261.01,632.058807
528480.01,2262361.01,631.658966
528480.01,2262461.01,630.458527
528480.01,2262561.01,627.548706
528480.01,2262661.01,622.260681
528480.01,2262761.01,619.550873
528480.01,2262861.01,616.054398
528480.01,2262961.01,615.433777
528480.01,2263061.01,615.710587
528480.01,2263161.01,614.373627
528480.01,2263261.01,615.787415
528480.01,2263361.01,617.047791
528480.01,2263461.01,617.642548
528480.01,2263561.01,620.092072
528480.01,2263661.01,622.345459
528480.01,2263761.01,622.68869
528480.01,2263861.01,624.384338
528480.01,2263961.01,625.592621
528480.01,2264061.01,625.499084
528480.01,2264161.01,626.132401
528480.01,2264261.01,626.104187
528480.01,2264361.01,625.164642
528480.01,2264461.01,625.353516
528480.01,2264561.01,627.139404
