"X","Y","H30_Lusit (Depth)"
528080.01,2265561.01,393.391021729
528080.01,2265661.01,395.307128906
528080.01,2265761.01,398.47366333
528080.01,2265861.01,398.510131836
528080.01,2265961.01,399.011962891
528080.01,2266061.01,398.242950439
528080.01,2266161.01,397.078857422
528080.01,2266261.01,-9999
528080.01,2266361.01,-9999
528180.01,2260961.01,-9999
528180.01,2261061.01,416.041168213
528180.01,2261161.01,428.708007813
528180.01,2261261.01,436.865966797
528180.01,2261361.01,437.521850586
528180.01,2261461.01,384.505279541
528180.01,2261561.01,384.505279541
528180.01,2261661.01,384.505279541
528180.01,2261761.01,387.744445801
528180.01,2261861.01,390.313781738
528180.01,2261961.01,384.878845215
528180.01,2262061.01,383.399688721
528180.01,2262161.01,377.797973633
528180.01,2262261.01,377.575561523
528180.01,2262361.01,378.280883789
528180.01,2262461.01,377.937316895
528180.01,2262561.01,376.677825928
528180.01,2262661.01,376.711303711
528180.01,2262761.01,377.154724121
528180.01,2262861.01,378.521911621
528180.01,2262961.01,380.940673828
528180.01,2263061.01,382.216430664
528180.01,2263161.01,382.504455566
528180.01,2263261.01,382.993621826
528180.01,2263361.01,384.019256592
528180.01,2263461.01,385.879516602
528180.01,2263561.01,386.221832275
528180.01,2263661.01,388.282043457
528180.01,2263761.01,390.195739746
528180.01,2263861.01,391.203430176
528180.01,2263961.01,394.053314209
528180.01,2264061.01,397.601470947
528180.01,2264161.01,396.696685791
528180.01,2264261.01,397.778533936
528180.01,2264361.01,398.504211426
528180.01,2264461.01,400.450561523
528180.01,2264561.01,399.039306641
528180.01,2264661.01,397.374023438
528180.01,2264761.01,397.374023438
528180.01,2264861.01,397.998138428
528180.01,2264961.01,399.736022949
528180.01,2265061.01,400.789245605
528180.01,2265161.01,403.095367432
528180.01,2265261.01,403.770294189
528180.01,2265361.01,404.824890137
528180.01,2265461.01,405.185211182
528180.01,2265561.01,394.618164063
528180.01,2265661.01,396.128540039
528180.01,2265761.01,396.787780762
528180.01,2265861.01,397.571105957
528180.01,2265961.01,398.646972656
528180.01,2266061.01,396.929412842
528180.01,2266161.01,395.135620117
528180.01,2266261.01,395.468444824
528180.01,2266361.01,-9999
528280.01,2260861.01,-9999
528280.01,2260961.01,421.466491699
528280.01,2261061.01,424.800262451
528280.01,2261161.01,428.396270752
528280.01,2261261.01,430.919403076
528280.01,2261361.01,438.454833984
528280.01,2261461.01,439.076721191
528280.01,2261561.01,439.076721191
528280.01,2261661.01,388.166534424
528280.01,2261761.01,382.408233643
528280.01,2261861.01,378.992279053
528280.01,2261961.01,377.872741699
528280.01,2262061.01,379.62979126
528280.01,2262161.01,375.499420166
528280.01,2262261.01,375.200622559
528280.01,2262361.01,375.393341064
528280.01,2262461.01,374.293640137
528280.01,2262561.01,373.20690918
528280.01,2262661.01,373.006591797
528280.01,2262761.01,374.673217773
528280.01,2262861.01,375.195373535
528280.01,2262961.01,377.510864258
528280.01,2263061.01,379.160339355
528280.01,2263161.01,379.613647461
